date,temperature,day_of_year,month,day_of_month,temperature_scaled
2026-01-01,17.597926546997808,1,1,1,0.41801895046387355
2026-01-02,15.575529674154849,2,1,2,0.06578439481099581
2026-01-03,16.560352284582198,3,1,3,0.23730787728807762
2026-01-04,14.253629396822754,4,1,4,-0.1644468535932544
2026-01-05,15.67192470646327,5,1,5,0.08257321693994414
2026-01-06,8.986698173428564,6,1,6,-1.0817718376447787
2026-01-07,18.780635421796354,7,1,7,0.6240076664154383
2026-01-08,19.382626753215,8,1,8,0.7288546190469735
2026-01-09,15.904498057359474,9,1,9,0.12307979208830579
2026-01-10,16.76454536690219,10,1,10,0.2728715495742536
2026-01-11,18.08052700496916,11,1,11,0.5020719670374479
2026-01-12,15.046580363521834,12,1,12,-0.026341056872385804
2026-01-13,17.679984757431853,13,1,13,0.43231077304233473
2026-01-14,16.726597213115937,14,1,14,0.26626223798648496
2026-01-15,17.76177130119352,15,1,15,0.44655528028377367
2026-01-16,14.273225262659588,16,1,16,-0.16103390275835333
2026-01-17,16.48200705310406,17,1,17,0.2236627326738895
2026-01-18,6.417847373520996,18,1,18,-1.5291805694294638
2026-01-19,16.85165267753144,19,1,19,0.2880427581859836
2026-01-20,20.874729343969214,20,1,20,0.988729473532881
2026-01-21,17.610560253053535,21,1,21,0.4202193236441052
2026-01-22,20.42892986404319,22,1,22,0.9110859685262254
2026-01-23,16.800269445419246,23,1,23,0.2790935009090947
2026-01-24,17.95413647644141,24,1,24,0.48005892288547475
2026-01-25,16.245983766428637,25,1,25,0.18255529297092835
2026-01-26,20.42133000127747,26,1,26,0.9097623241316695
2026-01-27,22.18474539910498,27,1,27,1.216890884023112
2026-01-28,18.11890618313475,28,1,28,0.5087563487970361
2026-01-29,13.832603848346505,29,1,29,-0.23777556022716564
2026-01-30,19.88186259827676,30,1,30,0.8158049691056749
2026-01-31,22.47054107521057,31,1,31,1.26666702555712
2026-02-01,16.36326471171931,32,2,1,0.20298174942254368
2026-02-02,19.84169203810944,33,2,2,0.808808587930019
2026-02-03,20.83459256303287,34,2,3,0.9817389755805299
2026-02-04,17.870476247574018,35,2,4,0.465488081753042
2026-02-05,21.54318831693105,36,2,5,1.1051528879848647
2026-02-06,19.25616821605403,37,2,6,0.7068297300434656
2026-02-07,25.86316938217018,38,2,7,1.8575505164504953
2026-02-08,18.804003338789396,39,2,8,0.6280775836354974
2026-02-09,18.796269001438127,40,2,9,0.6267305182217914
2026-02-10,17.911081120139816,41,2,10,0.47256010576455565
2026-02-11,19.372836764886834,42,2,11,0.7271495273140285
2026-02-12,19.025398123710097,43,2,12,0.6666372228129375
2026-02-13,19.915245047896008,44,2,13,0.8216190862387333
2026-02-14,17.56654661452946,45,2,14,0.41255360549730036
2026-02-15,17.226701009451045,46,2,15,0.35336375641139617
